DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
29-04-2021,Jammu and Kashmir,3474,1617,26,50013
06-05-2021,Odisha,10521,6854,17,48314
15-05-2021,Punjab,6771,8125,216,67604
16-05-2021,Andhra Pradesh,24171,21101,101,94550
24-05-2021,Rajasthan,4414,16654,103,24370
01-04-2021,Uttarakhand,500,125,2,17870
03-04-2021,Assam,68,32,\N,16024
13-04-2021,Odisha,1784,523,2,28013
22-04-2021,Punjab,5450,3657,75,47305
23-04-2021,Andhra Pradesh,11766,4441,38,45581
29-04-2021,Chandigarh,801,447,8,3821
30-04-2021,Jharkhand,5961,4002,120,36836
07-05-2021,Rajasthan,18231,16930,164,77786
11-05-2021,Puducherry,2049,1359,30,9058
11-05-2021,Andaman and Nicobar Islands,28,24,\N,223
20-05-2021,Tamil Nadu,35579,25368,397,171094
23-05-2021,Haryana,4400,9480,97,52282
23-05-2021,Arunachal Pradesh,226,260,3,3005
06-04-2021,Tripura,14,6,\N,1402
06-04-2021,Andhra Pradesh,1941,835,7,31657
08-04-2021,Meghalaya,25,1,1,1781
14-04-2021,Rajasthan,6200,1956,29,39886
29-04-2021,Bihar,13089,10926,89,97972
30-04-2021,Haryana,13833,9348,98,50031
30-04-2021,Arunachal Pradesh,163,49,\N,3363
06-05-2021,Haryana,14840,12246,177,52132
08-05-2021,Chhattisgarh,12239,12198,223,61914
14-05-2021,Jharkhand,3776,7112,76,55028
19-05-2021,Nagaland,244,215,6,1446
20-05-2021,Himachal Pradesh,2648,4257,65,14503
01-04-2021,Puducherry,260,43,1,2355
13-04-2021,Haryana,3845,2109,16,34828
13-04-2021,Arunachal Pradesh,14,\N,\N,638
15-04-2021,Chhattisgarh,15256,11988,135,53454
21-04-2021,Jharkhand,5041,2331,62,43239
26-04-2021,Nagaland,55,3,\N,308
28-04-2021,Kerala,35013,15505,41,138190
03-05-2021,Himachal Pradesh,2630,1531,43,8511
12-05-2021,Manipur,666,358,17,3520
20-05-2021,Mizoram,192,136,\N,1622
04-04-2021,Jharkhand,787,148,8,14227
07-04-2021,Delhi,5506,3363,20,90201
10-04-2021,Himachal Pradesh,943,373,12,8615
02-05-2021,Maharashtra,56647,51356,669,257470
03-05-2021,Mizoram,74,66,1,1231
09-05-2021,Lakshadweep,125,148,\N,934
12-05-2021,Uttarakhand,7749,7005,109,34893
14-05-2021,Assam,4078,4168,76,44057
24-05-2021,Odisha,11059,11614,32,66512
01-04-2021,Tamil Nadu,2817,1634,19,85876
10-04-2021,Mizoram,25,\N,\N,785
16-04-2021,Lakshadweep,44,11,\N,687
19-04-2021,Kerala,13644,4305,21,87275
21-04-2021,Assam,1665,297,5,62107
01-05-2021,West Bengal,17512,14374,103,56297
17-05-2021,Tripura,335,292,10,4637
17-05-2021,Andhra Pradesh,18561,17334,109,73749
19-05-2021,Meghalaya,872,411,24,4249
25-05-2021,Rajasthan,3404,15635,105,58755
02-04-2021,Uttarakhand,364,194,2,9655
04-04-2021,Assam,69,48,2,7075
14-04-2021,Odisha,2267,610,3,33251
